x,y
31723,45603
32776,47850
33428,49214
34429,51747
35677,55863
36314,57407
36907,61032
59016,59418
75377,51555
74482,50703
73176,49664
71487,48558
70088,46990
69169,45722
64786,39107
63923,37692
63925,35898
65163,34463
66355,33592
55946,37621
57300,38884
57745,40792
57658,42439
55336,44781
53870,45826
51800,46702
49140,46301
46128,45092
44611,42486
31723,45603
